srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
3038679,AN,7,500004,233,233,131,D,ADLD,517503,6/6/2016,6/3/2016,3/30/2018,4403,4/5/2018,13
2847861,AN,21,110015,233,233,131,A,ADLD,110025,9/20/2017,9/19/2017,2/7/2018,4580,2/10/2018,10
2890366,S,2,110018,233,233,228,A,ADLD,110029,1/31/2018,1/25/2018,2/20/2018,4150,2/21/2018,10
2879405,AN,7,500004,233,233,131,C,ADLD,534244,10/3/2017,9/29/2017,2/17/2018,4403,2/19/2018,12
2880572,C,2,110018,233,233,131,A,ADLD,201301,1/11/2018,5/6/2017,2/17/2018,4550,2/24/2018,13
2899312,C,1,400059,233,233,228,A,ADLD,421202,2/9/2018,2/7/2018,2/23/2018,4010,3/1/2018,21
2990708,AA,24,110092,233,233,228,B,ADLD,135103,3/1/2018,2/28/2018,3/17/2018,4439,3/19/2018,15
2950365,AD,2,110018,233,233,228,A,ADLD,122015,4/29/2017,1/2/2017,3/7/2018,4148,3/16/2018,12
2981996,AN,7,500004,233,233,131,A,ADLD,500085,2/24/2018,2/23/2018,3/15/2018,4403,3/21/2018,6
2953228,C,2,110018,308,233,228,A,ADLD,122003,8/13/2017,7/15/2016,3/7/2018,4094,3/15/2018,15
2858228,AN,21,110015,233,233,131,B,ADLD,151001,1/14/2018,11/10/2017,2/10/2018,4580,3/23/2018,11
3020082,AJ,27,110034,233,233,228,A,ADLD,110019,7/16/2017,6/26/2016,3/26/2018,4388,3/31/2018,8
3025333,AI,23,400001,233,233,131,B,ADLD,422007,11/27/2017,11/27/2017,3/27/2018,4581,3/31/2018,13
3017225,C,12,302006,233,233,131,B,ADLD,324005,11/20/2017,11/10/2017,3/25/2018,4453,4/4/2018,16
3058305,AJ,23,400001,233,233,131,A,ADLD,380001,8/7/2017,7/13/2017,4/5/2018,4398,4/14/2018,12
2885383,AN,2,110018,233,245,131,A,ADLD,110078,7/3/2017,6/27/2017,2/19/2018,4147,2/22/2018,10
2969628,AJ,2,110018,233,245,228,A,ADLD,110029,1/28/2018,9/26/2017,3/11/2018,4388,3/13/2018,11
2947812,C,3,560011,233,233,131,B,ADLD,562159,2/16/2018,12/19/2017,3/6/2018,4461,3/14/2018,17
2835262,AN,21,110015,233,233,131,A,ADLD,302015,7/31/2017,7/27/2017,2/3/2018,4580,2/12/2018,11
3002134,AJ,23,400001,233,233,131,B,ADLD,482001,7/4/2017,6/19/2017,3/20/2018,4398,3/26/2018,14
2838860,AN,7,500004,233,233,131,A,ADLD,500082,8/17/2016,8/2/2016,2/4/2018,4403,2/8/2018,9
2971212,C,1,400059,233,233,131,B,ADLD,422003,9/30/2017,9/30/2017,3/12/2018,4545,3/14/2018,18
3029684,AN,21,110015,233,233,131,A,ADLD,110084,10/6/2017,9/29/2017,3/28/2018,4580,3/31/2018,8
3030018,AI,27,110034,233,233,131,B,ADLD,342001,10/30/2017,10/28/2017,3/28/2018,4388,3/31/2018,12
2822431,AJ,10,226010,233,233,228,B,ADLD,243001,5/11/2017,12/26/2016,1/30/2018,4444,2/3/2018,16
2995273,AJ,23,400001,233,233,228,A,ADLD,411004,3/3/2018,8/18/2017,3/19/2018,4398,3/30/2018,11
3069052,AJ,25,560037,233,233,228,A,ADLD,562106,3/4/2018,12/18/2017,4/9/2018,4460,4/11/2018,11
2870074,AN,22,400104,233,233,131,B,ADLD,360005,4/24/2017,4/22/2017,2/14/2018,4581,2/16/2018,14
2912464,AA,10,226010,233,233,228,A,ADLD,226023,1/10/2018,4/28/2017,2/27/2018,4425,2/28/2018,13
2966728,AJ,4,600024,233,233,131,A,ADLD,600079,5/25/2017,5/25/2017,3/10/2018,4482,3/13/2018,11
2990173,AN,8,700064,233,233,131,C,ADLD,700144,5/25/2016,5/20/2016,3/17/2018,4508,3/21/2018,12
3013881,AJ,27,110034,308,233,228,A,ADLD,122001,3/8/2018,8/17/2017,3/24/2018,4388,3/26/2018,11
2987069,Y,2,110018,233,233,131,B,ADLD,184144,2/17/2018,12/25/2017,3/16/2018,4147,3/22/2018,15
3016563,AA,24,110092,233,245,131,B,ADLD,390007,1/29/2017,5/24/2016,3/25/2018,4150,3/31/2018,15
2852829,J,6,160059,233,233,131,B,ADLD,134112,1/7/2018,11/8/2017,2/8/2018,4442,2/12/2018,12
2861267,AN,21,110015,233,233,131,A,ADLD,110096,8/14/2017,8/10/2017,2/11/2018,4580,2/15/2018,9
2858464,AJ,12,302006,233,233,228,B,ADLD,324001,7/7/2017,12/18/2015,2/10/2018,4407,2/12/2018,13
2848283,AI,7,500004,233,233,131,A,ADLD,500076,1/22/2018,1/22/2018,2/7/2018,4474,2/20/2018,7
2883989,AI,8,700064,233,233,131,B,ADLD,712222,12/23/2017,12/23/2017,2/18/2018,4499,2/24/2018,12
2927808,AN,6,160059,233,233,131,B,ADLD,160036,4/6/2017,4/3/2017,3/1/2018,4673,3/5/2018,10
2883376,AN,21,110015,233,233,228,A,ADLD,201001,1/29/2018,12/9/2017,2/18/2018,4580,3/8/2018,13
2946614,AN,4,600024,233,233,131,B,ADLD,632014,3/14/2017,3/9/2017,3/6/2018,4490,3/10/2018,10
2870529,AM,12,302006,233,233,131,A,ADLD,302016,10/18/2017,10/17/2017,2/14/2018,4454,3/5/2018,12
2949165,AE,2,110018,233,233,228,A,ADLD,110029,2/19/2018,4/13/2017,3/7/2018,4093,3/10/2018,11
2907972,C,2,110018,233,233,131,B,ADLD,180004,4/24/2016,2/14/2016,2/26/2018,4094,3/3/2018,17
2964257,AN,7,500004,233,233,131,A,ADLD,500074,5/18/2017,5/17/2017,3/10/2018,4403,3/15/2018,11
2922599,AJ,9,411016,233,233,228,B,ADLD,431203,5/19/2017,4/2/2017,2/28/2018,4021,3/18/2018,15
2973277,AJ,25,560037,233,233,131,B,ADLD,575001,12/11/2017,3/15/2017,3/13/2018,4460,3/17/2018,13
2983339,AN,21,110015,233,233,131,A,ADLD,201014,4/7/2016,4/1/2016,3/15/2018,4580,3/24/2018,12
3021808,AJ,27,110034,233,233,131,A,ADLD,110035,10/13/2017,10/13/2017,3/26/2018,4388,3/28/2018,13
2924725,AJ,23,400001,233,233,131,B,ADLD,422011,5/5/2017,5/5/2017,2/28/2018,4398,3/9/2018,16
2967102,AI,23,400001,233,233,131,B,ADLD,453771,10/30/2017,10/27/2017,3/10/2018,4398,3/30/2018,22
3045158,AN,21,110015,233,233,228,A,ADLD,110029,3/5/2018,1/28/2018,4/1/2018,4580,4/4/2018,12
2985797,AN,21,110015,308,245,131,A,ADLD,110065,4/15/2017,4/12/2017,3/15/2018,4580,3/20/2018,8
3031199,AJ,25,560037,233,245,131,A,ADLD,560026,7/19/2017,7/19/2017,3/28/2018,4460,3/31/2018,7
3055411,AN,26,560066,233,245,131,A,ADLD,560076,10/26/2017,10/26/2017,4/4/2018,5001,4/8/2018,14
2891530,AJ,3,560011,233,233,131,B,ADLD,583103,2/3/2017,12/31/2016,2/20/2018,4460,2/24/2018,11
2999718,AN,21,110015,233,233,131,B,ADLD,140301,4/10/2017,4/8/2017,3/20/2018,4580,3/22/2018,15
2893555,AN,8,700064,233,233,131,C,ADLD,751012,5/26/2017,5/25/2017,2/21/2018,4508,2/23/2018,13
2919545,AJ,1,400059,233,233,228,B,ADLD,462003,10/5/2017,1/29/2017,2/27/2018,4398,3/4/2018,9
3060790,AN,22,400104,233,233,131,B,ADLD,462003,9/19/2017,9/16/2017,4/6/2018,4581,4/12/2018,10
3079121,AN,21,110015,233,233,131,A,ADLD,110074,6/30/2017,6/29/2017,4/12/2018,4580,4/19/2018,11
2851710,AJ,1,400059,233,233,131,A,ADLD,401101,7/20/2017,7/19/2017,2/8/2018,4398,2/15/2018,11
2833805,AJ,7,500004,233,233,131,A,ADLD,500094,7/14/2017,7/2/2017,2/3/2018,4474,2/9/2018,9
2949438,AN,21,110015,233,233,131,C,ADLD,121107,9/20/2017,5/25/2017,3/7/2018,4580,3/9/2018,11
2855611,AN,22,400104,233,245,131,A,ADLD,380018,11/6/2017,11/4/2017,2/9/2018,4581,2/18/2018,10
2838368,S,11,641012,201,201,131,D,ADLD,682030,5/22/2017,5/16/2017,2/4/2018,4498,2/8/2018,18
3038155,AN,21,110015,233,233,131,C,ADLD,143001,9/15/2017,9/9/2017,3/30/2018,4580,4/3/2018,12
3045088,AN,7,500004,233,233,131,A,ADLD,500068,12/18/2017,12/16/2017,4/1/2018,4403,4/5/2018,7
3044517,AN,21,110015,308,233,131,A,ADLD,122001,4/11/2017,4/9/2017,4/1/2018,4580,4/6/2018,8
2838308,AN,7,500004,233,233,131,A,ADLD,500075,6/6/2017,6/5/2017,2/4/2018,4403,2/18/2018,12
2866800,AD,2,110018,233,233,228,A,ADLD,122016,1/3/2018,1/5/2017,2/13/2018,4148,2/17/2018,11
2857355,C,2,110018,233,233,131,A,ADLD,201304,1/22/2018,1/18/2018,2/9/2018,4094,2/12/2018,13
2850465,C,10,226010,233,233,228,B,ADLD,211006,6/14/2017,1/18/2017,2/7/2018,4444,2/11/2018,21
2892739,AJ,1,400059,233,233,131,A,ADLD,400602,5/5/2017,5/4/2017,2/21/2018,4398,2/23/2018,9
2891487,C,12,302006,233,233,131,A,ADLD,302012,12/8/2017,11/30/2017,2/20/2018,4453,2/23/2018,14
2879607,C,2,110018,233,233,131,A,ADLD,110053,1/19/2018,1/7/2018,2/17/2018,4091,2/23/2018,15
2945337,AJ,12,302006,233,233,228,B,ADLD,333001,1/17/2018,6/11/2017,3/6/2018,4407,3/7/2018,16
2938695,AN,22,400104,233,233,131,A,ADLD,400709,4/17/2017,4/13/2017,3/4/2018,4581,3/8/2018,10
2957279,AJ,2,110018,233,233,228,A,ADLD,110060,2/14/2018,2/14/2018,3/8/2018,4388,3/9/2018,9
2890309,C,17,800001,233,233,228,B,ADLD,824101,1/19/2018,4/22/2017,2/20/2018,4409,3/1/2018,18
2971721,C,8,700064,233,233,131,A,ADLD,700016,11/30/2017,12/28/2016,3/12/2018,4500,3/14/2018,26
2954675,C,7,500004,233,233,131,A,ADLD,500018,11/11/2017,11/11/2017,3/8/2018,4477,3/22/2018,12
2954168,AN,17,800001,233,233,131,B,ADLD,802301,7/6/2017,6/29/2017,3/8/2018,4538,3/28/2018,18
3015132,AE,3,560011,233,233,131,A,ADLD,600089,7/21/2017,7/21/2017,3/24/2018,4463,3/27/2018,11
2996044,AM,1,400059,233,233,131,B,ADLD,422101,6/6/2017,6/6/2017,3/19/2018,4018,3/25/2018,17
3056911,AN,21,110015,233,233,131,A,ADLD,110058,6/25/2016,6/22/2016,4/5/2018,4580,4/12/2018,12
3031789,AN,26,560066,233,245,131,A,ADLD,560066,6/5/2017,5/31/2017,3/28/2018,5001,4/2/2018,9
3046824,AN,21,110015,308,245,131,A,ADLD,110094,8/13/2017,8/13/2017,4/2/2018,4580,4/4/2018,8
2928972,Y,26,560066,233,233,131,A,ADLD,560092,9/29/2017,2/11/2017,3/1/2018,4467,3/13/2018,11
2972165,C,17,800001,233,233,228,A,ADLD,800001,2/21/2018,9/29/2017,3/12/2018,4409,3/21/2018,12
3023172,AA,7,500004,233,233,228,B,ADLD,530011,7/26/2017,6/29/2017,3/26/2018,4479,4/7/2018,16
2929004,AN,22,400104,233,233,131,A,ADLD,400099,4/10/2017,4/9/2017,3/1/2018,4581,3/5/2018,9
2973678,AJ,6,160059,233,233,228,C,ADLD,141010,2/23/2018,2/12/2018,3/13/2018,4437,3/21/2018,12
2840432,AN,22,400104,233,245,131,A,ADLD,380050,6/1/2017,5/26/2017,2/5/2018,4581,2/15/2018,11
2900687,AN,4,600024,233,233,131,A,ADLD,600014,5/7/2017,3/1/2017,2/23/2018,4490,2/26/2018,7
2905138,AI,5,380009,233,233,131,A,ADLD,382345,11/20/2017,11/20/2017,2/24/2018,4422,3/1/2018,10
2904589,AN,22,400104,233,233,131,B,ADLD,452001,7/2/2017,6/30/2017,2/24/2018,4581,2/27/2018,14
2970999,AN,21,110015,233,233,131,A,ADLD,122001,2/23/2018,1/5/2018,3/12/2018,4580,3/17/2018,9
2991289,AJ,23,400001,233,233,131,A,ADLD,411005,1/15/2018,1/14/2018,3/17/2018,4398,3/19/2018,9
2823388,C,2,110018,233,233,131,A,ADLD,110009,11/4/2017,11/3/2017,1/31/2018,4550,2/3/2018,13
2840805,AA,12,302006,233,233,131,A,ADLD,302019,12/27/2017,12/24/2017,2/5/2018,4459,2/8/2018,16
2832052,AN,21,110015,233,233,131,B,ADLD,324005,1/9/2018,1/4/2018,2/2/2018,4580,2/9/2018,10
2851113,AN,7,500004,233,233,131,A,ADLD,500070,7/17/2017,7/1/2017,2/8/2018,4403,2/22/2018,13
2900507,C,2,110018,233,233,131,A,ADLD,110005,6/15/2016,6/12/2016,2/23/2018,4550,2/24/2018,14
2872953,AN,2,110018,233,233,131,A,ADLD,110025,3/7/2017,3/1/2017,2/15/2018,4147,2/26/2018,10
2911756,Z,7,500004,233,233,228,A,ADLD,500091,11/5/2017,12/16/2016,2/26/2018,4540,3/6/2018,6
2893118,H,1,400059,233,233,228,A,ADLD,302006,1/21/2018,1/15/2018,2/21/2018,4011,3/5/2018,15
2906147,C,5,380009,233,233,131,A,ADLD,380024,8/18/2017,8/16/2017,2/25/2018,4546,3/13/2018,12
2961666,AJ,8,700064,233,233,131,A,ADLD,700091,7/10/2017,7/10/2017,3/9/2018,4499,3/12/2018,10
3024546,AI,4,600024,233,233,131,A,ADLD,600062,12/18/2017,12/18/2017,3/27/2018,4482,4/3/2018,11
3067053,Y,2,110018,233,233,131,A,ADLD,110092,12/11/2017,12/10/2017,4/9/2018,4147,4/14/2018,11
3060452,AN,21,110015,233,233,131,B,ADLD,180011,6/12/2017,6/10/2017,4/6/2018,4580,4/15/2018,12
2905640,AN,21,110015,233,233,131,B,ADLD,248007,2/7/2018,1/31/2018,2/24/2018,4580,2/26/2018,17
2981259,AN,21,110015,233,233,131,B,ADLD,134102,4/11/2017,4/6/2017,3/14/2018,4580,3/19/2018,22
3005759,C,2,110018,308,233,228,A,ADLD,122002,1/24/2018,1/22/2018,3/22/2018,4550,3/26/2018,12
2830718,AJ,7,500004,233,233,228,A,ADLD,500009,12/6/2017,12/27/2017,2/2/2018,4474,2/9/2018,7
3065959,AN,22,400104,233,233,131,B,ADLD,394105,5/8/2017,5/5/2017,4/8/2018,4581,4/12/2018,12
2838954,AA,2,110018,233,233,131,A,ADLD,201310,9/21/2016,9/16/2016,2/4/2018,4150,2/20/2018,16
3076487,AN,21,110015,233,233,131,A,ADLD,160059,7/31/2017,7/29/2017,4/11/2018,4580,4/18/2018,13
3037801,AN,7,500004,233,233,131,C,ADLD,535001,9/20/2016,9/17/2016,3/30/2018,4403,4/4/2018,13
2858713,AN,4,600024,233,233,131,A,ADLD,600042,12/9/2017,12/7/2017,2/10/2018,4490,2/14/2018,8
2952512,AD,8,700064,233,233,131,A,ADLD,700025,11/11/2017,5/15/2017,3/7/2018,4510,3/9/2018,14
2991177,AM,2,110018,308,233,131,A,ADLD,110084,1/5/2017,11/7/2016,3/17/2018,4092,3/22/2018,11
3003553,AN,21,110015,233,233,228,B,ADLD,136119,3/12/2018,3/9/2018,3/21/2018,4580,3/27/2018,10
3035584,C,9,411016,233,233,131,A,ADLD,411004,4/1/2017,4/1/2017,3/29/2018,4548,4/6/2018,12
2987347,AI,6,160059,233,233,131,C,ADLD,141001,1/6/2018,1/6/2018,3/16/2018,4437,4/9/2018,18
3042077,C,8,700064,233,233,228,C,ADLD,751024,3/13/2018,9/13/2017,3/31/2018,4511,4/15/2018,23
2896688,AN,22,400104,233,233,131,B,ADLD,462026,10/26/2017,10/23/2017,2/22/2018,4581,2/27/2018,10
2899459,C,2,110018,308,233,228,A,ADLD,122001,1/26/2018,1/25/2017,2/23/2018,4094,3/7/2018,14
2950946,C,5,380009,233,245,228,B,ADLD,389151,9/2/2017,10/28/2016,3/7/2018,4546,3/28/2018,12
2823635,AN,4,600024,233,233,131,A,ADLD,600010,4/7/2017,4/6/2017,1/31/2018,4490,2/2/2018,9
2823278,AN,21,110015,233,233,131,A,ADLD,122015,3/8/2017,2/24/2017,1/31/2018,4580,2/5/2018,9
2823618,C,12,302006,233,233,131,A,ADLD,302006,2/15/2017,2/2/2017,1/31/2018,4453,2/5/2018,14
2827732,AE,3,560011,233,233,131,A,ADLD,560062,2/19/2017,2/19/2017,2/1/2018,4463,2/5/2018,12
2861969,AN,21,110015,233,233,131,A,ADLD,110028,7/23/2017,7/22/2017,2/12/2018,4580,2/15/2018,8
2883405,AJ,1,400059,233,233,131,A,ADLD,400607,11/19/2017,11/19/2017,2/18/2018,4398,2/21/2018,11
2887754,AN,21,110015,233,233,131,A,ADLD,110005,4/13/2017,4/12/2017,2/19/2018,4580,2/28/2018,8
2897662,AN,3,560011,233,233,131,A,ADLD,560100,5/6/2017,5/6/2017,2/22/2018,4467,2/26/2018,8
2927049,AN,21,110015,233,233,131,B,ADLD,144001,3/17/2017,3/14/2017,3/1/2018,4580,3/6/2018,10
2885692,AE,2,110018,233,233,131,A,ADLD,110059,5/17/2017,5/17/2017,2/19/2018,4093,2/24/2018,10
2929274,AR,1,400059,233,233,131,C,ADLD,577601,3/4/2017,2/21/2017,3/1/2018,4011,3/13/2018,14
2939921,AN,22,400104,233,233,131,A,ADLD,380058,10/6/2017,9/30/2017,3/5/2018,4581,3/9/2018,8
2970404,AN,22,400104,233,233,131,A,ADLD,400066,1/18/2018,1/17/2018,3/11/2018,4581,3/15/2018,12
2981276,AJ,23,400001,233,233,228,C,ADLD,362265,1/7/2018,1/5/2018,3/14/2018,4398,3/15/2018,12
2958651,AJ,10,226010,233,233,131,A,ADLD,226003,7/18/2016,7/15/2016,3/9/2018,4425,3/22/2018,11
2982093,AJ,23,400001,233,233,131,A,ADLD,380006,3/21/2017,7/19/2016,3/15/2018,4398,3/19/2018,13
2965262,C,2,110018,233,233,131,A,ADLD,110092,1/21/2018,2/2/2017,3/10/2018,4091,3/24/2018,14
3026420,AN,21,110015,233,233,131,A,ADLD,110038,12/9/2017,9/13/2017,3/27/2018,4580,4/6/2018,8
3039712,AN,7,500004,233,233,131,B,ADLD,530046,5/8/2017,5/6/2017,3/30/2018,4403,4/6/2018,13
3077514,AN,21,110015,233,245,131,A,ADLD,110009,4/23/2017,4/22/2017,4/12/2018,4580,4/15/2018,7
2877144,AN,2,110018,233,233,131,A,ADLD,110094,7/4/2017,6/14/2017,2/16/2018,4393,2/20/2018,10
2820623,AN,4,600024,233,233,131,A,ADLD,600119,5/29/2017,5/27/2017,1/30/2018,4490,2/9/2018,9
2890299,AM,6,160059,233,233,131,B,ADLD,147201,9/16/2017,2/10/2017,2/20/2018,4439,2/24/2018,11
2818858,AJ,2,110018,233,233,131,A,ADLD,110084,9/4/2017,8/22/2017,1/30/2018,4388,2/1/2018,14
2922373,C,8,700064,233,233,131,A,ADLD,700095,9/6/2017,9/1/2017,2/28/2018,4500,3/2/2018,14
3001056,AN,26,560066,233,233,131,A,ADLD,560029,9/29/2017,9/28/2017,3/20/2018,5001,3/22/2018,13
2972117,AI,6,160059,233,233,131,C,ADLD,143001,11/10/2017,11/8/2017,3/12/2018,4437,3/22/2018,12
2962047,AJ,3,560011,233,233,228,A,ADLD,560096,4/21/2017,12/21/2016,3/10/2018,4460,3/12/2018,8
2934457,AN,21,110015,233,233,131,C,ADLD,141001,3/4/2017,3/2/2017,3/3/2018,4580,3/6/2018,11
2838941,AN,21,110015,233,233,131,A,ADLD,122001,10/24/2017,10/19/2017,2/4/2018,4580,2/6/2018,8
2855286,AJ,1,400059,233,233,131,A,ADLD,400012,5/6/2017,5/6/2017,2/9/2018,4398,2/12/2018,8
2865911,C,2,110018,233,233,131,B,ADLD,180004,11/16/2017,11/15/2017,2/13/2018,4550,2/16/2018,15
2849105,AF,5,380009,201,233,131,D,ADLD,364270,2/11/2017,2/9/2017,2/7/2018,4039,2/22/2018,11
2930732,AN,21,110015,233,233,131,C,ADLD,144601,4/5/2017,3/30/2017,3/2/2018,4580,3/6/2018,15
2868246,AN,8,700064,233,233,131,A,ADLD,700108,4/29/2017,4/28/2017,2/14/2018,4508,3/5/2018,10
2920140,AJ,2,110018,233,233,228,A,ADLD,201301,8/1/2017,5/4/2017,2/27/2018,4388,3/10/2018,8
2885709,AJ,7,500004,233,233,228,C,ADLD,523001,9/20/2017,5/20/2017,2/19/2018,4474,3/13/2018,13
2970378,C,1,400059,233,233,228,A,ADLD,400012,2/20/2018,2/8/2018,3/11/2018,4545,3/18/2018,11
2994395,C,6,160059,233,233,228,B,ADLD,160047,3/7/2018,2/26/2018,3/18/2018,4549,3/21/2018,13
2994052,AN,21,110015,233,233,131,B,ADLD,131001,1/5/2018,3/15/2017,3/18/2018,4580,3/27/2018,12
3030597,C,2,110018,233,233,131,A,ADLD,110096,8/10/2017,8/8/2017,3/28/2018,4091,3/31/2018,14
3039670,C,9,411016,233,233,131,B,ADLD,424001,5/11/2017,5/9/2017,3/30/2018,4022,4/9/2018,12
3073266,AN,26,560066,233,233,131,A,ADLD,560082,2/22/2018,2/22/2018,4/10/2018,5001,4/19/2018,10
2875286,AF,2,110018,233,233,131,A,ADLD,122002,2/18/2017,2/16/2017,2/15/2018,4147,2/20/2018,9
2991505,AN,21,110015,233,233,131,A,ADLD,110063,2/10/2017,2/6/2017,3/17/2018,4580,3/27/2018,12
3045224,AA,24,110092,233,233,228,A,ADLD,122002,2/2/2018,2/8/2017,4/2/2018,4150,4/7/2018,10
2938825,AJ,6,160059,233,233,131,B,ADLD,136027,4/6/2017,3/27/2017,3/4/2018,4437,3/12/2018,10
3044639,AE,8,700064,201,233,131,D,ADLD,711312,2/26/2018,2/26/2018,4/1/2018,4503,4/4/2018,20
2833813,C,3,560011,233,233,228,A,ADLD,560092,11/12/2017,11/5/2017,2/3/2018,4461,2/6/2018,14
2835570,AJ,2,110018,233,233,131,A,ADLD,110089,2/10/2017,2/10/2017,2/3/2018,4388,2/13/2018,15
2818750,C,6,160059,233,233,131,C,ADLD,141003,11/20/2017,11/15/2017,1/30/2018,4549,2/13/2018,16
3041854,AJ,7,500004,233,233,228,A,ADLD,500002,3/13/2018,11/6/2017,3/31/2018,4474,4/3/2018,7
2866964,AJ,9,411016,233,233,228,A,ADLD,411062,1/28/2018,1/28/2018,2/13/2018,4021,2/27/2018,11
3009280,AJ,23,400001,308,233,131,A,ADLD,400099,7/23/2017,7/23/2017,3/22/2018,4398,3/27/2018,8
3054852,C,3,560011,308,245,131,A,ADLD,560011,10/20/2017,10/17/2017,4/4/2018,4461,4/6/2018,10
2873231,C,1,400059,233,233,131,A,ADLD,400006,11/22/2017,11/22/2017,2/15/2018,4545,2/19/2018,14
3012775,T,1,400059,308,233,228,A,ADLD,400067,3/7/2018,2/19/2017,3/24/2018,4011,3/26/2018,14
3019619,G,1,400059,233,233,131,B,ADLD,390023,5/9/2017,5/9/2017,3/26/2018,4011,4/2/2018,15
2833223,AI,17,800001,233,233,131,C,ADLD,831006,12/15/2017,12/15/2017,2/2/2018,4370,2/3/2018,16
2945342,C,3,560011,308,233,131,A,ADLD,560043,6/11/2017,6/11/2017,3/6/2018,4461,3/10/2018,9
2919219,C,4,600024,233,233,131,A,ADLD,600011,1/22/2017,1/22/2017,2/27/2018,4483,3/9/2018,16
2934701,AN,7,500004,233,233,131,A,ADLD,500092,1/5/2018,1/3/2018,3/3/2018,4403,3/17/2018,9
3040772,AN,8,700064,233,233,131,C,ADLD,751024,7/5/2017,6/18/2017,3/31/2018,4508,4/6/2018,17
2833067,AN,8,700064,233,233,131,A,ADLD,700075,4/13/2017,4/12/2017,2/2/2018,4508,2/7/2018,9
2827455,AI,5,380009,201,233,131,D,ADLD,388370,10/13/2017,10/12/2017,2/1/2018,4422,2/17/2018,14
2882239,AN,8,700064,233,233,131,A,ADLD,700059,12/21/2017,12/11/2017,2/17/2018,4508,2/22/2018,11
2872189,C,7,500004,233,233,228,A,ADLD,500031,6/11/2017,11/7/2016,2/15/2018,4477,2/19/2018,15
2870275,AN,22,400104,233,233,131,B,ADLD,431003,3/2/2017,2/24/2017,2/14/2018,4581,3/3/2018,14
2959843,AN,22,400104,233,233,131,B,ADLD,422009,8/21/2017,8/18/2017,3/9/2018,4581,3/13/2018,15
2919413,T,1,400059,233,233,131,B,ADLD,250001,8/2/2016,6/30/2017,2/27/2018,4011,3/2/2018,15
3004555,AE,2,110018,233,233,228,A,ADLD,302003,1/22/2018,10/22/2017,3/21/2018,4093,3/24/2018,9
2991770,AN,21,110015,308,233,131,A,ADLD,110041,9/26/2017,9/23/2017,3/17/2018,4580,3/26/2018,8
3014760,AN,21,110015,233,233,131,C,ADLD,182101,10/23/2017,10/18/2017,3/24/2018,4580,3/27/2018,13
3007236,AN,17,800001,233,233,131,A,ADLD,800006,9/29/2017,9/22/2017,3/22/2018,4538,4/5/2018,13
3025475,C,4,600024,233,233,228,A,ADLD,600073,1/27/2018,1/26/2018,3/27/2018,4483,4/2/2018,12
3072369,AN,21,110015,233,233,131,A,ADLD,110044,9/18/2017,9/15/2016,4/10/2018,4580,4/13/2018,10
2822658,AN,22,400104,233,245,131,B,ADLD,364002,12/19/2017,12/3/2017,1/31/2018,4581,2/2/2018,14
2970868,AN,22,400104,233,245,131,B,ADLD,387002,10/11/2017,9/21/2017,3/12/2018,4581,3/29/2018,16
2842842,C,1,400059,233,233,131,A,ADLD,421001,7/1/2017,6/28/2017,2/6/2018,4545,2/9/2018,14
2883673,C,2,110018,233,233,228,A,ADLD,110017,1/26/2018,1/25/2017,2/18/2018,4550,2/24/2018,11
2849153,AN,22,400104,233,233,131,A,ADLD,411015,10/6/2017,10/3/2017,2/7/2018,4581,2/16/2018,11
3018237,C,4,600024,233,233,228,B,ADLD,641049,8/7/2017,4/13/2017,3/25/2018,4492,4/1/2018,10
3064926,AN,21,110015,233,233,131,A,ADLD,110049,8/14/2017,8/9/2017,4/7/2018,4580,4/10/2018,8
3050500,AN,21,110015,233,233,131,A,ADLD,302015,1/25/2018,1/25/2017,4/3/2018,4580,4/12/2018,11
2980277,AN,21,110015,233,245,131,A,ADLD,110049,7/28/2017,7/27/2017,3/14/2018,4580,3/23/2018,10
2872240,C,3,560011,233,245,131,A,ADLD,560010,1/10/2018,1/5/2018,2/15/2018,4461,2/18/2018,12
2972193,AJ,25,560037,233,245,131,A,ADLD,560070,9/14/2017,9/12/2017,3/12/2018,4460,3/30/2018,10
2831205,AJ,3,560011,233,233,228,A,ADLD,560043,1/6/2018,8/16/2017,2/2/2018,4460,2/3/2018,10
2945215,C,1,400059,233,233,228,A,ADLD,400086,7/29/2017,5/26/2016,3/6/2018,4008,3/14/2018,11
2988174,AN,21,110015,233,233,131,A,ADLD,110085,9/27/2017,9/25/2017,3/16/2018,4580,3/19/2018,10
3064214,AD,7,500004,233,233,228,A,ADLD,500072,2/6/2018,4/19/2017,4/7/2018,4540,4/10/2018,9
3071051,C,2,110018,233,245,131,A,ADLD,110095,4/14/2017,4/13/2017,4/10/2018,4091,4/13/2018,14
2859322,AN,3,560011,233,233,131,A,ADLD,560026,5/29/2017,5/27/2017,2/10/2018,4467,2/15/2018,9
2831711,AI,5,380009,233,233,131,A,ADLD,380007,10/21/2017,10/18/2017,2/2/2018,4422,2/8/2018,10
2825168,AM,12,302006,233,233,131,B,ADLD,342008,10/16/2017,10/16/2017,1/31/2018,4454,2/6/2018,15
2869377,L,2,110018,233,233,131,A,ADLD,800006,1/14/2018,1/8/2018,2/14/2018,4154,2/20/2018,12
